material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Zinc,2018,Canada,Secondary,9.146,1.687,0.717,1.45,0.498,6.481,0.67,0.853,0.572,1.264,0.679,0.337,6.4,Recycled,379.1,Rail,15.6,0.156,0.432,2.209,0.59,0,0.33,0.572,0.428,0.379,6.4,2.109375,0.200546875,0.200547,20.05
Cobalt,2023,China,Secondary,24.221,3.037,4.334,3.367,1.958,14.563,0.611,0.769,0.47,12.59,0.085,0.338,2.3,Recycled,167.5,Ship,49.2,0.492,0.437,26.787,0.528,0,0.389,0.47,0.53,0.4595,2.3,5.869565,-1.6970651174999998,0.0,0.0
Nickel,2022,USA,Secondary,13.356,2.455,1.294,2.547,0.911,8.605,0.661,0.742,0.491,9.678,0.118,0.207,7.1,Recycled,48.4,Truck,45.1,0.451,0.137,19.711,0.516,0,0.339,0.491,0.509,0.424,7.1,1.901408,0.19380300800000005,0.193803,19.38
Steel,2020,China,Primary,17.827,2.131,5.326,6.864,2.913,2.723,0.004,0.38,0.001,0.001,0.257,0.565,8.1,Cascaded,198.6,Truck+Ship,31.7,0.317,0.285,0.939,0.273,0,0.996,0.001,0.999,0.9975,8.1,1.666667,-0.6625003325000001,0.0,0.0
Aluminium,2024,Australia,Primary,62.038,12.423,7.287,41.488,5.559,7.703,0.022,0.3,0.006,0.009,0.692,0.283,9.0,Recycled,159.2,Truck,29.1,0.291,0.278,1.481,0.286,0,0.978,0.006,0.994,0.986,9.0,1.5,-0.4790000000000001,0.0,0.0
Zinc,2018,Australia,Primary,27.052,3.585,8.22,11.307,4.088,3.437,0.015,0.3,0.005,0.01,0.28,0.763,3.6,Downcycled,471.2,Truck,32.6,0.326,0.027,2.046,0.277,0,0.985,0.005,0.995,0.99,3.6,3.75,-2.7125,0.0,0.0
Lithium,2021,Chile,Primary,113.042,8.345,53.938,22.743,19.248,17.113,0.028,0.3,0.008,0.443,0.384,0.227,1.2,Downcycled,95.8,Ship,54.4,0.544,0.243,55.321,0.286,0,0.972,0.008,0.992,0.982,1.2,11.25,-10.0475,0.0,0.0
Lithium,2024,Chile,Secondary,28.836,2.815,5.582,4.585,3.232,15.437,0.545,0.894,0.487,16.273,0.224,0.201,6.9,Recycled,180.0,Truck,25.8,0.258,0.442,33.414,0.51,0,0.455,0.487,0.513,0.484,6.9,1.956522,0.05304335199999999,0.053043,5.3
Steel,2024,USA,Secondary,6.964,0.706,0.484,1.268,0.409,4.803,0.675,0.835,0.563,0.413,0.533,0.576,8.0,Landfill,299.0,Truck,2.6,0.026,0.17,0.734,0.562,0,0.325,0.563,0.437,0.381,8.0,1.6875,0.35706249999999995,0.357062,35.71
Steel,2018,Australia,Secondary,5.055,1.005,0.392,0.801,0.275,3.586,0.886,0.866,0.767,0.571,0.495,0.688,9.4,Cascaded,922.9,Truck,51.0,0.51,0.154,0.744,0.726,1,0.114,0.767,0.233,0.1735,9.4,1.43617,0.750824505,0.750825,75.08
Lithium,2023,Germany,Primary,100.778,8.349,47.684,21.235,14.141,17.718,0.001,0.3,0.0,0.0,0.157,0.349,6.5,Landfill,147.1,Rail,43.5,0.435,0.639,50.426,0.236,0,0.999,0.0,1.0,0.9995,6.5,2.076923,-1.0758845385,0.0,0.0
Aluminium,2020,India,Primary,56.331,10.531,9.427,36.143,5.465,5.296,0.021,0.3,0.006,0.013,0.552,0.591,8.0,Recycled,146.9,Rail,2.4,0.024,0.044,2.114,0.242,0,0.979,0.006,0.994,0.9865,8.0,1.6875,-0.66471875,0.0,0.0
Aluminium,2021,USA,Primary,69.824,12.368,11.129,44.674,6.46,7.561,0.016,0.55,0.009,0.014,0.708,0.475,11.2,Recycled,58.5,Truck,37.0,0.37,0.396,1.61,0.397,0,0.984,0.009,0.991,0.9875,11.2,1.205357,-0.19029003750000006,0.0,0.0
Cobalt,2024,Chile,Primary,79.099,14.434,32.364,27.019,12.51,7.206,0.017,0.3,0.005,0.135,0.423,0.284,4.9,Cascaded,101.4,Truck,6.3,0.063,0.489,27.004,0.199,0,0.983,0.005,0.995,0.989,4.9,2.755102,-1.7247958780000001,0.0,0.0
Copper,2022,Australia,Primary,27.837,2.567,7.044,12.106,5.707,2.981,0.028,0.3,0.009,0.034,0.445,0.664,8.5,Incinerated,83.1,Rail,32.6,0.326,0.607,3.756,0.295,0,0.972,0.009,0.991,0.9815,8.5,1.588235,-0.5588526525000002,0.0,0.0
Lithium,2021,Chile,Primary,81.15,11.186,41.0,13.519,13.606,13.025,0.006,0.502,0.003,0.158,0.144,0.163,0.5,Recycled,22.0,Truck,5.0,0.05,0.299,52.594,0.2,0,0.994,0.003,0.997,0.9955,0.5,27.0,-25.878500000000003,0.0,0.0
Steel,2023,Germany,Secondary,5.324,0.75,0.429,0.893,0.264,3.739,0.718,0.822,0.59,0.442,0.425,0.441,3.9,Recycled,88.3,Truck,69.9,0.699,0.162,0.749,0.674,0,0.282,0.59,0.41,0.346,3.9,3.461538,-0.197692148,0.0,0.0
Copper,2023,Chile,Primary,28.868,3.963,7.521,13.702,5.3,2.344,0.072,0.3,0.022,0.123,0.395,0.619,5.8,Downcycled,268.2,Air,46.1,0.461,0.118,5.597,0.321,0,0.928,0.022,0.978,0.953,5.8,2.327586,-1.218189458,0.0,0.0
Lithium,2022,Brazil,Primary,81.093,7.853,39.947,17.081,12.008,12.057,0.019,0.3,0.006,0.307,0.245,0.333,7.0,Incinerated,79.5,Ship,26.8,0.268,0.176,51.232,0.218,0,0.981,0.006,0.994,0.9875,7.0,1.928571,-0.9044638625000001,0.0,0.0
Aluminium,2021,Australia,Primary,65.731,15.217,13.867,40.622,5.779,5.463,0.018,0.37,0.007,0.015,0.82,0.203,5.8,Downcycled,155.7,Truck,39.0,0.39,0.259,2.168,0.337,0,0.982,0.007,0.993,0.9875,5.8,2.327586,-1.298491175,0.0,0.0
Steel,2020,Canada,Primary,19.529,2.351,5.632,8.198,2.598,3.102,0.017,0.48,0.008,0.006,0.499,0.443,7.5,Landfill,301.3,Truck+Ship,29.3,0.293,0.309,0.756,0.326,0,0.983,0.008,0.992,0.9875,7.5,1.8,-0.7775000000000001,0.0,0.0
Zinc,2023,USA,Secondary,9.489,1.382,0.855,1.182,0.973,6.479,0.715,0.714,0.511,0.986,0.64,0.517,0.5,Landfill,147.4,Truck,29.6,0.296,0.17,1.93,0.6,0,0.285,0.511,0.489,0.387,0.5,27.0,-9.449,0.0,0.0
Lithium,2024,Brazil,Secondary,26.693,3.235,3.903,4.561,2.389,15.84,0.803,0.88,0.706,29.058,0.243,0.317,1.5,Recycled,111.2,Ship,32.3,0.323,0.776,41.159,0.597,0,0.197,0.706,0.294,0.2455,1.5,9.0,-1.2094999999999998,0.0,0.0
Aluminium,2024,Brazil,Secondary,5.119,0.518,0.402,0.454,0.283,3.98,0.833,0.737,0.614,0.855,0.434,0.236,11.2,Recycled,6.1,Rail,64.8,0.648,0.079,1.392,0.648,0,0.167,0.614,0.386,0.2765,11.2,1.205357,0.6667187895,0.666719,66.67
Nickel,2019,India,Primary,63.439,8.594,20.826,31.044,4.688,6.88,0.064,0.614,0.04,0.575,0.466,0.307,0.5,Landfill,104.3,Ship,50.3,0.503,0.511,14.386,0.401,0,0.936,0.04,0.96,0.948,0.5,27.0,-24.596,0.0,0.0
Copper,2018,Brazil,Primary,28.18,4.162,6.362,13.743,5.458,2.617,0.015,0.3,0.004,0.019,0.574,0.586,4.6,Landfill,31.4,Truck,58.2,0.582,0.232,4.864,0.355,0,0.985,0.004,0.996,0.9905,4.6,2.934783,-1.9069025615,0.0,0.0
Aluminium,2018,Chile,Primary,67.71,13.666,11.227,46.985,4.693,4.806,0.061,0.3,0.018,0.033,0.338,0.499,4.1,Cascaded,210.7,Truck+Ship,4.8,0.048,0.156,1.84,0.215,0,0.939,0.018,0.982,0.9605,4.1,3.292683,-2.1626220215,0.0,0.0
Cobalt,2020,Canada,Primary,98.757,16.252,38.573,40.506,12.722,6.956,0.07,0.3,0.021,0.672,0.189,0.239,1.1,Recycled,70.7,Truck,29.0,0.29,0.119,32.016,0.218,0,0.93,0.021,0.979,0.9545,1.1,12.272727,-10.7143179215,0.0,0.0
Copper,2024,India,Primary,24.837,3.357,6.789,11.091,5.023,1.935,0.023,0.3,0.007,0.044,0.463,0.197,11.5,Recycled,318.8,Truck,36.7,0.367,0.106,6.334,0.258,0,0.977,0.007,0.993,0.985,11.5,1.173913,-0.15630430499999992,0.0,0.0
Zinc,2020,China,Primary,26.091,3.341,8.137,11.842,2.977,3.135,0.056,0.44,0.025,0.061,0.595,0.367,7.2,Recycled,106.3,Air,82.6,0.826,0.28,2.429,0.437,0,0.944,0.025,0.975,0.9595,7.2,1.875,-0.7990625,0.0,0.0
Nickel,2023,Germany,Primary,72.943,7.255,25.692,34.251,5.539,7.461,0.066,0.363,0.024,0.393,0.161,0.351,1.1,Downcycled,20.6,Rail,21.7,0.217,0.557,16.365,0.228,0,0.934,0.024,0.976,0.955,1.1,12.272727,-10.720454284999999,0.0,0.0
Aluminium,2019,China,Primary,64.022,12.256,8.025,43.692,5.207,7.098,0.005,0.3,0.002,0.004,0.249,0.39,5.8,Downcycled,21.1,Truck,42.5,0.425,0.355,1.9,0.253,0,0.995,0.002,0.998,0.9965,5.8,2.327586,-1.3194394490000003,0.0,0.0
Aluminium,2021,Germany,Primary,55.789,16.971,9.135,36.199,5.597,4.858,0.021,0.3,0.006,0.015,0.4,0.47,6.7,Landfill,97.1,Ship,2.6,0.026,0.162,2.538,0.207,0,0.979,0.006,0.994,0.9865,6.7,2.014925,-0.9877235124999999,0.0,0.0
Cobalt,2022,Australia,Secondary,21.0,3.922,2.585,4.122,2.061,12.231,0.897,0.887,0.795,19.675,0.42,0.234,0.9,Cascaded,125.4,Truck+Ship,33.5,0.335,0.272,24.749,0.644,0,0.103,0.795,0.205,0.154,0.9,15.0,-1.31,0.0,0.0
Copper,2019,China,Primary,30.398,4.645,8.95,12.662,5.87,2.916,0.02,0.3,0.006,0.034,0.371,0.594,12.5,Downcycled,165.9,Ship,31.4,0.314,0.083,5.678,0.273,0,0.98,0.006,0.994,0.987,12.5,1.08,-0.06596000000000002,0.0,0.0
Aluminium,2023,Canada,Primary,68.057,14.486,7.11,47.009,5.847,8.092,0.012,0.3,0.004,0.007,0.468,0.21,8.1,Landfill,62.9,Ship,63.6,0.636,0.323,1.832,0.311,0,0.988,0.004,0.996,0.992,8.1,1.666667,-0.6533336639999998,0.0,0.0
Nickel,2019,Chile,Secondary,19.911,2.904,2.236,2.285,1.217,14.173,0.892,0.892,0.796,12.764,0.142,0.189,8.1,Recycled,613.0,Truck,37.3,0.373,0.23,16.035,0.605,0,0.108,0.796,0.204,0.156,8.1,1.666667,0.739999948,0.74,74.0
Cobalt,2021,Chile,Primary,102.847,10.729,40.965,36.683,17.808,7.391,0.032,0.3,0.009,0.288,0.36,0.205,4.1,Landfill,443.4,Rail,33.2,0.332,0.354,31.952,0.239,0,0.968,0.009,0.991,0.9795,4.1,3.292683,-2.2251829985,0.0,0.0
Aluminium,2023,USA,Secondary,4.851,0.887,0.453,0.477,0.094,3.828,0.752,0.756,0.568,0.586,0.835,0.625,3.0,Recycled,307.1,Ship,34.7,0.347,0.174,1.032,0.672,0,0.248,0.568,0.432,0.34,3.0,4.5,-0.53,0.0,0.0
Steel,2024,Chile,Secondary,6.305,1.037,0.46,1.129,0.236,4.481,0.841,0.898,0.755,0.533,0.595,0.706,7.4,Landfill,834.6,Truck,41.8,0.418,0.067,0.706,0.723,0,0.159,0.755,0.245,0.202,7.4,1.824324,0.6314865519999999,0.631487,63.15
Aluminium,2019,India,Primary,63.474,9.248,8.029,39.109,7.558,8.778,0.011,0.3,0.003,0.005,0.848,0.482,3.0,Landfill,17.6,Ship,24.9,0.249,0.184,1.795,0.318,0,0.989,0.003,0.997,0.993,3.0,4.5,-3.4684999999999997,0.0,0.0
Steel,2022,Chile,Primary,18.347,1.382,5.817,6.902,3.291,2.337,0.012,0.3,0.003,0.003,0.582,0.523,5.3,Recycled,1261.5,Ship,16.5,0.165,0.328,0.99,0.266,0,0.988,0.003,0.997,0.9925,5.3,2.54717,-1.528066225,0.0,0.0
Lithium,2018,Germany,Primary,94.782,9.635,44.035,23.828,12.702,14.218,0.022,0.3,0.007,0.233,0.185,0.106,0.5,Recycled,518.5,Truck,59.9,0.599,0.031,33.323,0.254,0,0.978,0.007,0.993,0.9855,0.5,27.0,-25.6085,0.0,0.0
Copper,2020,China,Primary,32.151,4.296,6.912,15.386,6.331,3.522,0.023,0.532,0.012,0.081,0.562,0.568,7.4,Recycled,303.2,Truck+Ship,2.4,0.024,0.404,6.775,0.311,0,0.977,0.012,0.988,0.9825,7.4,1.824324,-0.7923983300000002,0.0,0.0
Copper,2021,Australia,Primary,26.172,3.709,6.843,13.016,4.476,1.837,0.065,0.314,0.02,0.161,0.726,0.313,4.1,Downcycled,796.5,Truck+Ship,25.5,0.255,0.02,8.066,0.302,0,0.935,0.02,0.98,0.9575,4.1,3.292683,-2.1527439724999997,0.0,0.0
Aluminium,2019,China,Primary,64.141,12.611,7.388,41.294,7.175,8.285,0.021,0.3,0.006,0.012,0.448,0.337,9.0,Downcycled,34.0,Truck,39.5,0.395,0.377,1.951,0.275,0,0.979,0.006,0.994,0.9865,9.0,1.5,-0.4797500000000001,0.0,0.0
Copper,2020,Canada,Primary,29.646,3.495,7.938,13.092,5.409,3.208,0.098,0.3,0.029,0.189,0.687,0.661,8.3,Landfill,6.4,Rail,19.9,0.199,0.104,6.519,0.323,0,0.902,0.029,0.971,0.9365,8.3,1.626506,-0.523222869,0.0,0.0
Copper,2022,Canada,Primary,25.852,4.672,7.038,11.032,5.043,2.739,0.025,0.567,0.014,0.107,0.459,0.366,7.0,Downcycled,674.5,Truck,38.0,0.38,0.401,7.62,0.358,0,0.975,0.014,0.986,0.9805,7.0,1.928571,-0.8909638655000001,0.0,0.0
Copper,2018,Australia,Secondary,7.305,1.399,0.0,0.73,0.528,6.048,0.863,0.901,0.778,3.504,0.306,0.56,13.8,Recycled,108.6,Rail,0.0,0.0,0.211,4.504,0.588,0,0.137,0.778,0.222,0.1795,13.8,0.978261,0.8244021505,0.824402,82.44
Copper,2018,Germany,Primary,28.618,4.29,7.279,13.408,5.13,2.801,0.01,0.3,0.003,0.021,0.722,0.58,4.1,Recycled,395.4,Truck,33.1,0.331,0.171,6.865,0.325,0,0.99,0.003,0.997,0.9935,4.1,3.292683,-2.2712805605,0.0,0.0
Copper,2020,Brazil,Secondary,7.286,0.66,0.34,1.052,0.529,5.364,0.764,0.885,0.676,3.714,0.322,0.601,8.1,Recycled,141.1,Truck+Ship,100.0,1.0,0.304,5.494,0.765,0,0.236,0.676,0.324,0.28,8.1,1.666667,0.5333332399999999,0.533333,53.33
Nickel,2020,Brazil,Secondary,17.26,2.543,1.315,2.779,0.477,12.689,0.673,0.786,0.529,7.34,0.325,0.086,0.8,Downcycled,116.9,Ship,43.2,0.432,0.16,13.876,0.548,0,0.327,0.529,0.471,0.399,0.8,16.875,-5.733125,0.0,0.0
Zinc,2023,USA,Primary,28.589,2.999,7.313,11.66,4.922,4.693,0.059,0.3,0.018,0.045,0.413,0.419,4.5,Recycled,1.6,Rail,38.6,0.386,0.21,2.525,0.286,0,0.941,0.018,0.982,0.9615,4.5,3.0,-1.8845,0.0,0.0
Cobalt,2023,India,Secondary,22.719,4.42,2.364,4.762,2.43,13.164,0.868,0.795,0.69,20.947,0.436,0.305,7.3,Downcycled,307.6,Truck,26.7,0.267,0.128,30.358,0.605,0,0.132,0.69,0.31,0.221,7.3,1.849315,0.591301385,0.591301,59.13
Steel,2019,China,Primary,19.007,2.537,6.64,6.937,2.384,3.045,0.012,0.329,0.004,0.003,0.745,0.563,1.7,Landfill,25.0,Air,30.9,0.309,0.086,0.752,0.332,0,0.988,0.004,0.996,0.992,1.7,7.941176,-6.877646592,0.0,0.0
Copper,2024,USA,Secondary,8.231,1.621,0.362,1.289,0.621,5.959,0.737,0.913,0.673,4.032,0.247,0.384,12.1,Recycled,100.1,Truck,12.0,0.12,0.478,5.991,0.558,0,0.263,0.673,0.327,0.295,12.1,1.115702,0.67086791,0.670868,67.09
Nickel,2019,Canada,Secondary,19.689,2.503,1.913,3.805,0.488,13.483,0.64,0.853,0.546,7.322,0.345,0.272,1.8,Landfill,209.3,Ship,26.0,0.26,0.064,13.41,0.547,0,0.36,0.546,0.454,0.407,1.8,7.5,-2.0524999999999998,0.0,0.0
Nickel,2019,Canada,Primary,73.342,8.269,27.178,31.079,7.05,8.036,0.058,0.428,0.025,0.337,0.223,0.284,0.5,Landfill,468.9,Ship,50.2,0.502,0.602,13.466,0.305,0,0.942,0.025,0.975,0.9585,0.5,27.0,-24.8795,0.0,0.0
Copper,2024,China,Primary,28.643,3.714,8.369,12.998,4.716,2.561,0.034,0.329,0.011,0.065,0.177,0.234,9.8,Recycled,177.7,Truck+Ship,57.5,0.575,0.165,5.866,0.272,0,0.966,0.011,0.989,0.9775,9.8,1.377551,-0.34655610250000013,0.0,0.0
Aluminium,2020,Brazil,Secondary,6.658,1.032,0.201,0.865,0.471,5.122,0.571,0.854,0.488,0.507,0.659,0.747,11.5,Downcycled,404.8,Rail,13.7,0.137,0.329,1.039,0.6,0,0.429,0.488,0.512,0.4705,11.5,1.173913,0.44767393350000007,0.447674,44.77
Steel,2018,China,Primary,19.405,2.379,5.887,7.065,3.469,2.984,0.01,0.3,0.003,0.003,0.288,0.685,10.0,Downcycled,184.4,Truck+Ship,53.4,0.534,0.261,1.03,0.311,0,0.99,0.003,0.997,0.9935,10.0,1.35,-0.3412250000000001,0.0,0.0
Aluminium,2019,Germany,Primary,68.348,13.477,9.21,47.867,5.846,5.426,0.048,0.3,0.014,0.031,0.423,0.47,7.4,Landfill,132.6,Ship,58.1,0.581,0.249,2.221,0.329,0,0.952,0.014,0.986,0.969,7.4,1.824324,-0.767769956,0.0,0.0
Nickel,2023,Australia,Secondary,17.976,2.802,2.174,2.699,0.985,12.117,0.76,0.777,0.591,7.722,0.106,0.238,0.5,Recycled,84.0,Ship,37.9,0.379,0.258,13.066,0.539,0,0.24,0.591,0.409,0.3245,0.5,27.0,-7.7615,0.0,0.0
Nickel,2020,Australia,Primary,83.965,8.626,27.803,37.442,9.048,9.673,0.028,0.451,0.013,0.206,0.418,0.244,7.4,Landfill,22.8,Ship,28.2,0.282,0.3,15.853,0.286,0,0.972,0.013,0.987,0.9795,7.4,1.824324,-0.7869253580000002,0.0,0.0
Copper,2022,USA,Secondary,6.449,1.034,0.329,0.687,0.597,4.835,0.716,0.853,0.61,2.824,0.292,0.328,9.4,Downcycled,523.2,Ship,9.3,0.093,0.187,4.63,0.53,0,0.284,0.61,0.39,0.337,9.4,1.43617,0.51601071,0.516011,51.6
Nickel,2018,Chile,Primary,76.503,8.04,26.776,36.793,5.659,7.276,0.048,0.3,0.014,0.317,0.541,0.224,4.4,Landfill,220.9,Rail,42.2,0.422,0.231,22.657,0.29,0,0.952,0.014,0.986,0.969,4.4,3.068182,-1.973068358,0.0,0.0
Copper,2018,USA,Primary,31.665,3.437,7.652,13.842,7.427,2.744,0.072,0.3,0.021,0.124,0.476,0.381,9.1,Recycled,44.2,Truck,52.1,0.521,0.338,5.887,0.322,0,0.928,0.021,0.979,0.9535,9.1,1.483516,-0.414532506,0.0,0.0
Steel,2022,Australia,Secondary,6.868,0.631,0.974,0.71,0.509,4.675,0.601,0.815,0.489,0.387,0.242,0.673,8.6,Recycled,833.2,Truck,33.6,0.336,0.357,0.792,0.566,0,0.399,0.489,0.511,0.455,8.6,1.569767,0.28575601500000003,0.285756,28.58
Aluminium,2018,Brazil,Secondary,6.184,0.642,0.581,0.543,0.413,4.646,0.7,0.813,0.569,0.716,0.536,0.597,9.5,Recycled,21.6,Truck,9.7,0.097,0.331,1.259,0.578,0,0.3,0.569,0.431,0.3655,9.5,1.421053,0.48060512850000003,0.480605,48.06
Steel,2022,China,Primary,20.953,2.568,6.804,7.833,2.926,3.389,0.019,0.3,0.006,0.005,0.729,0.489,7.0,Cascaded,143.6,Ship,25.7,0.257,0.214,0.881,0.304,0,0.981,0.006,0.994,0.9875,7.0,1.928571,-0.9044638625000001,0.0,0.0
Aluminium,2019,India,Primary,57.565,13.247,9.086,37.89,6.291,4.297,0.066,0.3,0.02,0.041,0.385,0.774,9.5,Recycled,138.3,Rail,12.0,0.12,0.444,2.033,0.266,0,0.934,0.02,0.98,0.957,9.5,1.421053,-0.35994772099999994,0.0,0.0
Lithium,2021,Brazil,Secondary,28.94,3.181,5.175,5.067,2.726,15.972,0.768,0.88,0.676,23.909,0.37,0.084,0.5,Recycled,735.3,Truck+Ship,0.5,0.005,0.476,35.369,0.521,1,0.232,0.676,0.324,0.278,0.5,27.0,-6.506,0.0,0.0
Nickel,2018,Canada,Primary,75.447,8.554,26.575,33.853,9.212,5.807,0.002,0.31,0.001,0.018,0.314,0.162,2.3,Incinerated,27.4,Truck,0.0,0.0,0.181,17.711,0.157,0,0.998,0.001,0.999,0.9985,2.3,5.869565,-4.8607606525,0.0,0.0
Steel,2020,Chile,Primary,20.96,2.23,5.864,9.122,2.616,3.358,0.03,0.324,0.01,0.01,0.252,0.411,8.1,Downcycled,695.2,Ship,20.1,0.201,0.559,0.981,0.224,0,0.97,0.01,0.99,0.98,8.1,1.666667,-0.6333336599999999,0.0,0.0
Aluminium,2020,Chile,Secondary,5.264,0.427,0.248,0.312,0.341,4.364,0.593,0.869,0.515,0.617,0.25,0.638,12.9,Recycled,279.3,Truck,54.1,0.541,0.451,1.198,0.618,0,0.407,0.515,0.485,0.446,12.9,1.046512,0.5332556479999999,0.533256,53.33
Steel,2023,Brazil,Secondary,7.307,1.188,0.737,0.921,0.445,5.205,0.776,0.814,0.632,0.348,0.623,0.731,3.8,Downcycled,61.0,Truck,12.6,0.126,0.162,0.55,0.63,0,0.224,0.632,0.368,0.296,3.8,3.552632,-0.051579072000000004,0.0,0.0
Nickel,2021,Germany,Primary,68.417,7.807,24.444,29.31,8.158,6.505,0.088,0.328,0.029,0.476,0.197,0.189,9.9,Recycled,147.9,Truck+Ship,58.5,0.585,0.433,16.409,0.286,0,0.912,0.029,0.971,0.9415,9.9,1.363636,-0.2838632940000001,0.0,0.0
Lithium,2020,Canada,Primary,90.091,12.339,45.189,18.163,15.1,11.64,0.035,0.3,0.01,0.557,0.404,0.304,8.7,Landfill,47.9,Truck,0.0,0.0,0.57,55.696,0.19,0,0.965,0.01,0.99,0.9775,8.7,1.551724,-0.51681021,0.0,0.0
Steel,2020,Chile,Secondary,7.457,0.923,0.625,1.086,0.496,5.251,0.659,0.888,0.585,0.431,0.344,0.574,7.8,Downcycled,629.2,Ship,15.6,0.156,0.378,0.737,0.571,0,0.341,0.585,0.415,0.378,7.8,1.730769,0.345769318,0.345769,34.58
Aluminium,2019,Chile,Primary,60.442,15.481,7.247,41.613,4.355,7.227,0.01,0.3,0.003,0.007,0.416,0.5,13.8,Recycled,9.0,Ship,26.2,0.262,0.639,2.233,0.257,0,0.99,0.003,0.997,0.9935,13.8,0.978261,0.028097696499999936,0.028098,2.81
Copper,2018,Brazil,Secondary,8.348,1.086,0.556,0.895,0.746,6.151,0.501,0.769,0.385,2.187,0.273,0.745,17.4,Downcycled,363.5,Truck,0.0,0.0,0.261,5.681,0.471,0,0.499,0.385,0.615,0.557,17.4,0.775862,0.567844866,0.567845,56.78
Zinc,2023,Canada,Primary,25.252,3.583,6.522,10.288,3.569,4.873,0.017,0.3,0.005,0.011,0.305,0.372,9.0,Landfill,102.4,Ship,60.8,0.608,0.494,2.25,0.299,0,0.983,0.005,0.995,0.989,9.0,1.5,-0.48350000000000004,0.0,0.0
Nickel,2021,Canada,Primary,71.423,9.295,24.556,30.133,8.125,8.609,0.028,0.401,0.011,0.193,0.202,0.242,7.1,Recycled,103.6,Truck,38.9,0.389,0.232,17.571,0.26,0,0.972,0.011,0.989,0.9805,7.1,1.901408,-0.864330544,0.0,0.0
Steel,2019,Brazil,Primary,15.542,2.31,4.774,6.624,2.138,2.006,0.025,0.3,0.007,0.007,0.38,0.453,3.8,Recycled,13.8,Rail,32.0,0.32,0.188,0.952,0.263,0,0.975,0.007,0.993,0.984,3.8,3.552632,-2.495789888,0.0,0.0
Steel,2023,USA,Secondary,7.394,0.55,0.404,1.622,0.491,4.878,0.884,0.803,0.71,0.416,0.476,0.679,4.7,Recycled,1.3,Ship,49.7,0.497,0.174,0.586,0.701,0,0.116,0.71,0.29,0.203,4.7,2.87234,0.41691497999999994,0.416915,41.69
Cobalt,2020,India,Secondary,17.533,2.9,1.831,4.015,1.819,9.868,0.632,0.842,0.533,13.2,0.271,0.307,5.6,Recycled,90.1,Truck+Ship,21.5,0.215,0.179,24.766,0.525,0,0.368,0.533,0.467,0.4175,5.6,2.410714,-0.00647309500000004,0.0,0.0
Nickel,2018,Canada,Primary,76.695,8.063,26.357,34.546,8.535,7.258,0.063,0.305,0.019,0.442,0.352,0.279,5.1,Recycled,493.1,Truck,39.8,0.398,0.162,23.267,0.268,0,0.937,0.019,0.981,0.959,5.1,2.647059,-1.5385295810000001,0.0,0.0
Lithium,2020,Canada,Primary,84.883,11.61,41.016,23.579,8.916,11.372,0.013,0.428,0.005,0.208,0.369,0.252,4.5,Recycled,68.2,Rail,21.0,0.21,0.075,41.542,0.254,0,0.987,0.005,0.995,0.991,4.5,3.0,-1.9729999999999999,0.0,0.0
Copper,2019,Chile,Secondary,6.9,1.113,0.141,0.701,0.467,5.591,0.665,0.898,0.597,3.228,0.639,0.468,6.5,Recycled,229.1,Ship,25.8,0.258,0.726,5.407,0.63,0,0.335,0.597,0.403,0.369,6.5,2.076923,0.2336154130000001,0.233615,23.36
Steel,2019,USA,Primary,22.386,2.561,5.818,9.629,3.018,3.921,0.092,0.43,0.04,0.034,0.521,0.65,4.3,Landfill,116.4,Truck,17.5,0.175,0.433,0.858,0.33,0,0.908,0.04,0.96,0.934,4.3,3.139535,-1.9323256900000003,0.0,0.0
Steel,2023,Germany,Primary,19.394,2.515,4.465,8.375,3.427,3.127,0.012,0.3,0.004,0.003,0.629,0.676,5.0,Recycled,13.9,Air,16.7,0.167,0.143,0.761,0.288,0,0.988,0.004,0.996,0.992,5.0,2.7,-1.6784000000000003,0.0,0.0
Steel,2020,Chile,Primary,18.628,2.393,5.26,7.953,2.613,2.802,0.021,0.3,0.006,0.006,0.274,0.412,12.7,Recycled,789.1,Ship,59.7,0.597,0.146,1.022,0.297,0,0.979,0.006,0.994,0.9865,12.7,1.062992,-0.04864160800000006,0.0,0.0
Aluminium,2021,Chile,Primary,52.58,15.626,5.24,36.828,5.105,5.406,0.058,0.451,0.026,0.048,0.379,0.362,13.2,Landfill,400.3,Rail,25.2,0.252,0.332,1.858,0.293,0,0.942,0.026,0.974,0.958,13.2,1.022727,0.020227534000000102,0.020228,2.02
Zinc,2019,Australia,Primary,19.018,3.81,6.019,8.277,2.646,2.075,0.04,0.3,0.012,0.023,0.326,0.448,6.4,Recycled,1024.2,Truck,50.4,0.504,0.304,1.903,0.294,0,0.96,0.012,0.988,0.974,6.4,2.109375,-1.0545312500000001,0.0,0.0
